Sample	NMR_2-Methylbutyrate	NMR_Lactate	NMR_Alanine	NMR_Tyrosine	NMR_Isoleucine	NMR_Leucine	NMR_Valine	NMR_Lysine	NMR_Succinate	NMR_Glycine	NMR_b_arabinose	NMR_b_xylose	NMR_Acetate	NMR_Propionate	NMR_Butyrate	NMR_Glucose	NMR_Isovalerate	NMR_Uracil	NMR_Hypoxanthine	Tryptophan_Metabolites_5-hydroxyindole acetate	Tryptophan_Metabolites_melatonin (pg/mg)	Tryptophan_Metabolites_anthranilate (pg/mg)	Tryptophan_Metabolites_indole-3-propionic acid	Tryptophan_Metabolites_3-methylindole (relative; raw peak area only)	Tryptophan_Metabolites_Tryptophan	Tryptophan_Metabolites_Kynurenate (no IS)	Tryptophan_Metabolites_Kynurenine (no IS)	Tryptophan_Metabolites_Serotonin	Tryptophan_Metabolites_tryptamine	Tryptophan_Metabolites_indole-3-acetic acid (no IS)	Tryptophan_Metabolites_indole	BA_Metabolites_Deoxycholic acid	BA_Metabolites_Cholic acid	BA_Metabolites_Ursodeoxycholic acid	BA_Metabolites_Lithocholic acid	BA_Metabolites_Chenodeoxycholic acid	BA_Metabolites_Deoxycholic acid sulphate	BA_Metabolites_Taurocholic acid	BA_Metabolites_Glycocholic acid	BA_Metabolites_Taurodeoxycholic acid	BA_Metabolites_Glycodeoxycholic acid	BA_Metabolites_Glycochenodeoxycholic acid	BA_Metabolites_Taurochenodeoxycholic acid
41.T.5	10.43562525	38.91209504	61.95956043	12.07716063	29.24582557	60.81661888	26.95884998	20.4042354	18.39396872	32.47933103	4.251601513	4.404927884	332.0022863	68.30983989	73.06863827	6.714806354	27.25861791	1.927474085	1.597234292	0.056	1.637047226	11.70900806	2.334499355	46648	27.5698587	0.277770329	0.047343233	0.431897163	1.605412159	52.1792495	77.50997388	3534.425158	65.28947368	106.2011579	236.9053684	23.88021053	214.8990526	NA	14.44042105	NA	NA	5.006315789	NA
20.T.5	19.38223256	23.75789272	114.6046189	14.04974163	38.40126123	78.72326236	32.51514774	28.4895027	24.96942567	33.15101913	5.701074381	4.639687093	371.2391823	125.252155	79.63676143	2.582366598	39.22987984	3.999573731	5.095586535	0.137986199	0.596928177	13.71380137	2.203080738	278907	20.61320762	1.187868959	0.15844054900000001	0.292423103	0.178822034	125.2791509	120.0685476	10721.68685	112.8838542	476.931901	1733.072526	101.3373698	4.143359375	NA	27.92057292	NA	21.68294271	6.803776042	NA
65.T.1	18.93129921	22.15569508	67.42837118	9.570671242	26.67098247	54.27780898	23.65357465	21.49530693	28.39590348	22.7083812	3.406424078	2.842158952	601.3217674	132.3386497	111.3142787	4.846585602	39.08774552	2.733301998	4.124093156	0.0115	0.316574375	7.600795431	2.71820011	3449881	23.41549989	0.378208099	0.113135631	1.71235185	0.37771574	21.48088868	25.38920998	9838.530804	175.8884485	1885.060929	1685.35051	751.5767837	2.347225368	NA	28.45073613	NA	32.50305776	25.81132503	NA
73.T.1	12.68121246	15.361211	41.16285617	7.665679253	16.73384598	36.9734561	14.94654383	18.13604834	17.60510553	25.80460912	9.830890278	5.423643536	251.8754353	61.74971448	58.20953028	11.29663164	24.02692593	1.581569134	2.186134519	0.0342	1.114598376	9.790753782	2.345710867	960560	15.85178464	0.450193839	0.124484178	0.427707144	0.213422463	87.28671609	17.62249802	522.3175342	134.3937671	27.14465753	417.0020548	30.18849315	1.000684932	NA	NA	NA	NA	1.872671233	NA
73.T.4	10.80118006	19.6720657	54.38053033	10.79859162	26.46748206	55.24257856	23.59347937	18.66944296	19.28004813	27.66681827	6.705478254	4.133353774	169.9123862	42.2177431	37.87502835	7.919984329	20.06726316	2.416535072	2.338589637	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	348.2337059	39.83194118	19.57135294	425.2475294	10.78782353	NA	NA	NA	NA	NA	1.695823529	NA
2.T.2	8.812308531	18.96498189	51.84172154	12.96859258	26.6935631	57.08581073	21.73279096	31.59149472	106.4873016	25.51052041	4.674705255	4.695426727	472.3352842	61.93702576	101.0293564	9.411065554	19.63679625	1.928246186	1.448100745	0.0174	0.536611642	8.557463986	3.851800694	5933	23.41572821	0.141854486	0.406637884	1.169683625	3.14624187	34.587202	74.89772457	7381.816638	5195.862565	1971.604333	1841.065858	1135.430156	3505.540901	65.64350087	29.54159445	59.15181976	32.4542461	58.20589255	22.32686308
1.T.4	13.16307291	16.26514686	53.97537886	7.992769578	20.63472554	45.8560865	17.71277028	16.90793889	26.77670246	15.58515528	4.886873457	3.349004289	216.7334476	39.9859221	41.32523451	2.522040818	27.44380676	2.119804116	1.548454105	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9160.027119	34.41751412	459.5555085	2200.216102	62.1440678	NA	NA	22.28079096	NA	23.58686441	16.18319209	NA
31.T.4	9.059059734	14.82592775	57.8968625	9.870544577	30.44869608	48.50425724	19.08135273	42.41049592	26.16624181	33.03051166	6.142312361	5.971034269	506.5527186	106.0870883	75.24801521	4.87036678	21.61513022	1.78063582	2.307632374	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1145.82129	14700.10581	3023.780323	45.75935484	1797.596935	NA	192.2109677	187.0291935	NA	NA	74.29274194	20.29532258
48.T.0	14.12664904	16.08199003	43.50220375	7.990045916	17.4733576	40.79945149	15.57820694	14.01538107	25.08484231	17.10514879	3.893628251	3.49662755	528.4211548	97.77437331	108.3944806	3.807700722	38.62304874	1.421921258	1.18754839	0.112483432	0.547537564	11.14124566	6.825528418	62137	15.06829346	0.360088104	0.382855521	0.731042445	0.314408325	234.6217926	211.3023691	13069.80617	93.97097944	903.4027811	1194.50653	135.9397823	1309.084401	NA	NA	220.7882709	15.40931076	7.034945586	NA
6.T.4	15.66153552	14.26863477	49.11044302	7.817959514	19.37650291	39.77354987	16.05360857	15.24681781	27.41807576	14.99089866	6.971319078	3.028594236	193.6349293	57.11019579	47.09817905	1.519193102	28.39360468	3.045307793	0.875972811	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10851.16882	119.9078341	207.8534562	2811.708602	27.28218126	2.19093702	NA	NA	NA	NA	9.013671275	NA
69.T.5	10.40481242	17.86864835	41.87562113	8.442108722	18.6121667	41.66281197	18.25206135	15.47873385	18.58749559	12.15595945	4.001892942	2.922483113	109.2534222	25.79406208	33.90890372	3.460507764	17.83512821	1.851123221	1.722527299	0.0536	0.415159362	9.536933398	8.140893098	601199	57.59652574	0.525931514	0.258202404	1.077654415	0.655298229	100.5558105	36.43764019	1035.178117	45.54748011	20.04668435	1370.085676	10.75291777	NA	NA	NA	NA	NA	3.14270557	NA
4.T.2	11.04471086	16.66769087	56.87357757	8.0157032010000009	20.69622859	51.00330807	19.07937028	19.03641189	29.5273416	16.35761523	4.129037328	3.186693085	498.9746789	85.01993612	75.71067237	6.806982882	17.72715679	2.391829568	2.686626723	0.013	0.54660596	17.31486949	3.049630524	714304	23.78905694	0.788773908	0.176361191	0.16583257	0.815210832	152.741552	52.52581185	14509.00057	127.5474713	997.9944828	3241.745747	330.0527586	3.876666667	NA	NA	NA	45.92632184	22.85758621	NA
